#GENE	ALL_0.1%	%ALL_0.1%
DPEP1	-0.77	13.1
DPEP2	-0.18	40.45
DPEP3	0.15	64.61
DPF1	-0.32	31.69
DPF2	-0.45	24
DPF3	-0.54	20.54
DPH1	0.4	76.36
DPH2	-0.14	43.77
DPH3	0.1	60.96
DPH5	0.3	72.01
DPM1	0.04	56.64
DPM2	0.46	78.16
DPM3	-0.01	52.85
DPP10	0.38	75.65
DPP3	0.87	88.89
DPP4	-0.97	8.9
DPP6	NA	NA
DPP7	0.25	69.57
DPP8	-0.78	13.05
DPP9	-0.8	12.53
DPPA2	0.31	72.23
DPPA3	0.59	82.45
DPPA4	0.1	61.49
DPPA5	0.26	69.83
DPRX	0.02	55.22
DPT	0.68	85.04
DPY19L1	-0.4	26.53
DPY19L2	1.35	94.4
DPY19L3	-0.66	15.91
DPY19L4	0.31	72.71
DPY30	0.06	58
DPYD	1.43	95.02
DPYS	-1.04	7.71
DPYSL2	-0.76	13.45
DPYSL3	-0.36	29.16
DPYSL4	-1.5	3.57
DPYSL5	-0.49	22.51
DQX1	-0.18	40.45
DR1	0.35	73.79
DRAM1	-0.23	36.86
DRAM2	-0.18	39.95
DRAP1	-0.38	27.42
DRD1	-0.4	26.53
DRD2	-0.6	18.06
DRD3	-0.36	29.16
DRD4	NA	NA
DRD5	0.37	75.43
DRG1	-0.19	39.68
DRG2	0.19	67.03
DRGX	-0.03	51.66
DROSHA	-0.46	23.66
DRP2	-0.46	23.57
DSC1	0.76	86.85
DSC2	-1.22	5.67
DSC3	0.3	71.68
DSCAM	-3.29	0.43
DSCAML1	-4.22	0.15
DSCC1	-0.03	51.66
DSCR3	-0.27	34.6
DSCR4	NA	NA
DSCR6	0.95	89.96
DSE	-0.35	29.54
DSEL	-0.19	39.28
DSG1	1.64	96.1
DSG2	2.3	98.32
DSG3	-0.7	14.81
DSG4	1.83	97.05
DSN1	-0.14	43.29
DSP	-2.23	1.32
DSPP	4.04	99.66
DST	-0.53	20.71
DSTN	0.06	58
DSTYK	0.09	60.68
DTD1	-0.21	38.28
DTHD1	1.59	95.84
DTL	0.04	57.41
DTNA	-0.51	21.65
DTNB	-0.8	12.46
DTNBP1	0.67	84.61
DTWD1	0.13	63
DTWD2	-0.45	24.19
DTX1	-0.89	10.37
DTX2	-0.68	15.36
DTX3	-0.49	22.09
DTX3L	-0.35	29.43
DTX4	-0.29	33.42
DTYMK	-0.54	20.26
DUOX1	-2.42	1.04
DUOX2	0.23	68.52
DUOXA1	0.26	70.52
DUOXA2	-0.43	25.37
DUPD1	0.62	83.25
DUS1L	-0.87	10.8
DUS2L	-0.4	26.85
DUS3L	-0.69	15.32
DUS4L	0.02	55.22
DUSP1	NA	NA
DUSP10	-0.49	22.51
DUSP11	0.22	67.92
DUSP12	-0.14	43.57
DUSP13	1.42	94.97
DUSP14	-0.3	32.62
DUSP15	NA	NA
DUSP16	-0.78	13.05
DUSP18	-0.18	39.95
DUSP19	0.08	60.09
DUSP2	NA	NA
DUSP21	0.22	67.92
DUSP22	0.28	71.41
DUSP23	NA	NA
DUSP26	-0.29	32.94
DUSP27	0.97	90.27
DUSP28	NA	NA
DUSP3	-0.32	31.46
DUSP4	-0.45	24.19
DUSP5	1.37	94.52
DUSP6	0.1	61.49
DUSP7	-0.45	24
DUSP8	NA	NA
DUSP9	NA	NA
DUT	NA	NA
DUX4	NA	NA
DUX4L3	NA	NA
DUX4L4	NA	NA
DUX4L7	NA	NA
DUXA	0.24	68.98
DVL1	-1.17	6.06
DVL2	-1.21	5.69
DVL3	-0.96	9.17
DYDC1	-0.03	51.4
DYDC2	0.88	88.96
DYM	-0.75	13.67
DYNC1H1	-6.01	0.04
DYNC1I1	-0.58	18.72
DYNC1I2	-0.58	18.44
DYNC1LI1	0.51	80.2
DYNC1LI2	-0.69	14.97
DYNC2H1	-0.35	29.56
DYNC2LI1	1.6	95.87
DYNLL1	0.12	62.38
DYNLL2	0.06	58
DYNLRB1	-0.01	52.85
DYNLRB2	0.08	59.76
DYNLT1	-0.12	44.54
DYNLT3	-0.01	52.85
DYRK1A	-0.42	25.64
DYRK1B	-0.84	11.18
DYRK2	-0.58	18.72
DYRK3	0.17	65.96
DYRK4	7.61E-05	53.98
DYSF	-1.31	4.85
DYTN	2.65	98.83
DYX1C1	1.09	91.85
DZANK1	0.53	81.01
DZIP1	-0.69	15.32
DZIP1L	0.01	54.12
DZIP3	-1.1	6.91
E2F1	0.31	72.38
E2F2	1.22	93.16
E2F3	0.35	74.18
E2F4	-0.74	13.94
E2F5	0.19	66.57
E2F6	0.04	56.64
E2F7	0.09	60.71
E2F8	-0.77	13.1
E4F1	-0.73	14.24
EAF1	0.62	83.14
EAF2	0.13	63.2
EAPP	0.42	76.96
EARS2	0.04	57.31
EBAG9	-0.1	46.2
EBF1	-0.47	23.25
EBF2	-0.62	17.16
EBF3	-0.65	16.44
EBF4	NA	NA
EBI3	-0.49	22.36
EBLN1	NA	NA
EBLN2	0.91	89.44
EBNA1BP2	0.42	76.96
EBP	-0.14	42.88
EBPL	-0.14	42.88
ECD	0.05	57.52
ECE1	-0.69	15.32
ECE2	-0.87	10.59
ECEL1	0	54.07
ECH1	0.2	67.19
ECHDC1	-0.21	38.58
ECHDC2	0.06	58.74
ECHDC3	0.42	77.16
ECHS1	-0.07	48.35
ECI1	0.06	58.85
ECI2	0.31	72.6
ECM1	-0.27	34.82
ECM2	0.42	77.26
ECSIT	-0.45	24.33
ECT2	-0.87	10.8
ECT2L	2.85	99.12
EDA	0.26	70.06
EDA2R	0.48	79.25
EDAR	-0.44	24.46
EDARADD	0.19	66.82
EDC3	-0.07	48.35
EDC4	-1.43	4
EDDM3A	0.88	89.02
EDDM3B	0.48	79.04
EDEM1	-0.96	9.17
EDEM2	-0.09	46.99
EDEM3	-0.66	15.95
EDF1	0.1	61.28
EDIL3	-0.43	25.37
EDN1	-0.21	38.58
EDN2	-0.1	46.49
EDN3	-0.36	28.93
EDNRA	-0.38	27.42
EDNRB	0.31	72.6
EEA1	-0.55	20
EED	-0.43	25.15
EEF1A1	-0.27	33.97
EEF1A2	-0.67	15.62
EEF1B2	-0.03	51.4
EEF1D	0.34	73.73
EEF1E1	-0.14	42.88
EEF1G	-0.45	24
EEF2	-2.28	1.24
EEF2K	-1.48	3.7
EEFSEC	-0.38	28.11
EEPD1	-0.31	32.15
EFCAB1	-0.05	49.76
EFCAB10	NA	NA
EFCAB11	0.7	85.42
EFCAB12	2.27	98.23
EFCAB13	0.89	89.3
EFCAB2	-0.01	53.19
EFCAB3	0.66	84.55
EFCAB4A	NA	NA
EFCAB4B	1.85	97.12
EFCAB5	2.23	98.18
EFCAB6	2.23	98.17
EFCAB7	1.62	96.03
EFCAB9	-0.05	49.39
EFEMP1	-0.76	13.45
EFEMP2	-0.6	18.06
EFHA1	0.17	65.96
EFHA2	-0.74	13.94
EFHB	1.96	97.55
EFHC1	1.27	93.63
EFHC2	0.6	82.78
EFHD1	-0.14	43.29
EFHD2	-0.16	41.64
EFNA1	0.26	70.06
EFNA2	NA	NA
EFNA3	0.19	66.82
EFNA4	-0.16	41.64
EFNA5	-0.16	41.25
EFNB1	0.22	68.13
EFNB2	-0.52	21.2
EFNB3	0.1	61.49
EFR3A	-0.31	32.23
EFR3B	-0.4	26.53
EFS	1.73	96.61
EFTUD1	0.83	88.09
EFTUD2	-1.15	6.23
EGF	1.3	93.91
EGFL6	1.11	92.06
EGFL7	0.17	65.96
EGFL8	0.04	57.15
EGFLAM	1.06	91.39
EGFR	-2.16	1.44
EGLN1	NA	NA
EGLN2	-0.78	12.88
EGLN3	-0.07	48.12
EGR1	-0.85	11.06
EGR2	-0.23	37.11
EGR3	-0.43	25.15
EGR4	NA	NA
EHBP1	-0.08	47.22
EHBP1L1	0.08	59.19
EHD1	-1.38	4.39
EHD2	-1.04	7.77
EHD3	-1.13	6.48
EHD4	-0.75	13.58
EHF	-0.29	32.94
EHHADH	2.27	98.24
EHMT1	-1.58	3.13
EHMT2	-0.88	10.5
EI24	NA	NA
EID1	-0.08	47.79
EID2	0.46	78.16
EID2B	0.19	66.57
EID3	0.26	70.26
EIF1	0.12	62.38
EIF1AD	0.53	80.58
EIF1AX	0.06	58
EIF1AY	NA	NA
EIF1B	0.06	58
EIF2A	-0.2	38.82
EIF2AK1	0.36	74.63
EIF2AK2	-0.67	15.62
EIF2AK3	0.09	60.65
EIF2AK4	-0.72	14.27
EIF2B1	-0.38	27.42
EIF2B2	-0.27	34.32
EIF2B3	-0.12	45.13
EIF2B4	-0.76	13.45
EIF2B5	-0.89	10.43
EIF2C1	-0.8	12.24
EIF2C2	-1.42	4.1
EIF2C3	-1	8.32
EIF2C4	-0.89	10.3
EIF2D	-0.4	26.73
EIF2S1	-0.21	38.28
EIF2S2	0.1	61.28
EIF2S3	0.13	62.74
EIF2S3L	NA	NA
EIF3A	-0.88	10.56
EIF3B	-0.62	17.31
EIF3C	NA	NA
EIF3CL	NA	NA
EIF3D	-0.56	19.31
EIF3E	-0.27	33.97
EIF3F	-0.29	33.2
EIF3G	-0.85	11.06
EIF3H	-0.38	27.42
EIF3I	-0.16	41.25
EIF3J	0.15	64.11
EIF3K	0.35	74.18
EIF3L	-0.76	13.33
EIF3M	-0.18	39.95
EIF4A1	-0.36	28.63
EIF4A2	-0.21	38.28
EIF4A3	-0.63	17.03
EIF4B	-0.54	20.54
EIF4E	-0.03	51.04
EIF4E1B	0.57	81.99
EIF4E2	-0.34	30.07
EIF4E3	-0.1	46.2
EIF4EBP1	NA	NA
EIF4EBP2	-0.16	41.25
EIF4EBP3	0.01	54.63
EIF4ENIF1	-0.97	8.9
EIF4G1	-1.27	5.21
EIF4G2	-1.09	7.11
EIF4G3	0.3	71.7
EIF4H	-0.03	51.4
EIF5	-0.69	14.97
EIF5A	-0.05	49.39
EIF5A2	0.08	59.43
EIF5AL1	NA	NA
EIF5B	-0.2	39.21
EIF6	0.04	56.92
ELAC1	0.02	55.22
ELAC2	-0.91	10.12
ELANE	0.19	67.03
ELAVL1	-0.32	31.46
ELAVL2	-0.41	26.23
ELAVL3	-0.78	12.77
ELAVL4	-0.1	46.49
ELF1	0.31	72.71
ELF2	0.53	80.82
ELF3	0.04	57.31
ELF4	-0.11	45.26
ELF5	-0.54	20.26
ELFN1	NA	NA
ELFN2	-1.84	2.08
ELK1	0.33	73.27
ELK3	-0.22	37.54
ELK4	-0.4	26.53
ELL	-0.6	18.19
ELL2	0.11	61.91
ELL3	0.49	79.38
ELMO1	-0.53	20.7
ELMO2	-0.82	11.77
ELMO3	0.56	81.71
ELMOD1	-0.47	23.04
ELMOD2	0.19	66.82
ELMOD3	0.67	84.61
ELN	-0.08	47.2
ELOF1	0.01	54.63
ELOVL1	0.04	56.64
ELOVL2	-0.18	40.16
ELOVL3	0.17	65.56
ELOVL4	0.39	76.05
ELOVL5	0.08	59.76
ELOVL6	-0.21	38.28
ELOVL7	0.06	58.53
ELP2	1.21	93.02
ELP3	-1.07	7.37
ELP4	0.86	88.74
ELSPBP1	1.84	97.06
ELTD1	1	90.69
EMB	0.17	65.76
EMC1	NA	NA
EMC10	-0.25	35.99
EMC2	-0.1	46.2
EMC3	0.1	61.28
EMC4	0.1	61.28
EMC6	-0.01	52.85
EMC7	0.44	77.45
EMC8	-0.32	31.46
EMC9	0.28	71.27
EMCN	0.06	58.53
EMD	-0.05	49.76
EME1	1	90.77
EME2	NA	NA
EMG1	NA	NA
EMID1	0.89	89.14
EMILIN1	-0.11	45.57
EMILIN2	-0.5	21.86
EMILIN3	-0.59	18.26
EML1	-0.42	25.73
EML2	0.22	68.49
EML3	-0.84	11.28
EML4	-1.35	4.63
EML5	-1.43	4.01
EML6	-0.61	17.5
EMP1	0.39	75.87
EMP2	-0.36	28.93
EMP3	0.1	61.28
EMR1	2.74	98.97
EMR2	2.36	98.44
EMR3	1.22	93.24
EMX1	NA	NA
EMX2	-0.1	46.2
EN1	NA	NA
EN2	NA	NA
ENAH	-0.62	17.16
ENAM	-0.08	47.26
ENC1	-0.65	16.36
ENDOD1	1	90.62
ENDOG	NA	NA
ENDOU	-0.18	40.36
ENDOV	-0.02	52.09
ENG	-0.39	27.03
ENGASE	-0.63	16.78
ENHO	0.08	59.43
ENKUR	0.77	87.01
ENO1	-0.18	40.16
ENO2	-0.41	26.23
ENO3	-0.49	22.65
ENOPH1	-0.14	42.88
ENOSF1	0.58	82.25
ENOX1	-0.44	24.46
ENOX2	-0.43	25.37
ENPEP	0.39	75.68
ENPP1	-0.4	26.98
ENPP2	0.16	64.96
ENPP3	0.39	75.68
ENPP4	0.37	75.29
ENPP5	0.18	66.07
ENPP6	-0.35	29.49
ENPP7	0.52	80.36
ENSA	0.41	76.67
ENTHD1	-0.16	42.16
ENTHD2	0.62	83.53
ENTPD1	-0.34	30.56
ENTPD2	0.2	67.3
ENTPD3	-0.27	34.82
ENTPD4	-0.66	15.95
ENTPD5	0.42	76.96
ENTPD6	0.94	89.86
ENTPD7	0.11	62
ENTPD8	-1.06	7.48
ENY2	0.15	63.81
EOGT	0.17	65.96
EOMES	NA	NA
EP300	-3.68	0.26
EP400	-3.86	0.22
EP400NL	NA	NA
EPAS1	-0.88	10.54
EPB41	-0.6	18.19
EPB41L1	-0.73	14.15
EPB41L2	-0.99	8.63
EPB41L3	0.9	89.33
EPB41L4A	1.61	95.91
EPB41L4B	-0.71	14.71
EPB41L5	0.05	57.48
EPB42	-0.19	39.24
EPB49	-0.36	29.16
EPC1	-0.62	17.4
EPC2	-0.29	33.2
EPCAM	0.37	75.29
EPDR1	0.48	79.25
EPG5	-0.36	28.31
EPGN	-0.23	36.86
EPHA1	-0.9	10.17
EPHA10	1.08	91.76
EPHA2	-0.63	16.82
EPHA3	-0.9	10.14
EPHA4	-1.4	4.22
EPHA5	-1.24	5.49
EPHA6	-0.77	13.15
EPHA7	-0.86	10.85
EPHA8	0.13	63.21
EPHB1	-1.33	4.72
EPHB2	-1.46	3.86
EPHB3	-2.68	0.73
EPHB4	-1.5	3.6
EPHB6	-1.43	4
EPHX1	0.71	85.76
EPHX2	0.69	85.26
EPHX3	-0.12	45.13
EPHX4	-0.49	22.09
EPM2A	NA	NA
EPM2AIP1	-0.01	53.51
EPN1	-0.26	34.93
EPN2	-0.38	28.11
EPN3	1.14	92.37
EPO	0.64	83.78
EPOR	0.78	87.14
EPPK1	NA	NA
EPRS	-0.12	44.11
EPS15	0.47	78.83
EPS15L1	-2.13	1.51
EPS8	-0.3	32.25
EPS8L1	7.61E-05	53.98
EPS8L2	-1.26	5.28
EPS8L3	0.87	88.85
EPSTI1	0.37	75.43
EPT1	-0.21	38.58
EPX	1.14	92.39
EPYC	0.51	80.1
ERAL1	0	53.73
ERAP1	1.08	91.73
ERAP2	0.39	75.7
ERAS	-0.08	47.79
ERBB2	-0.59	18.28
ERBB2IP	1.39	94.64
ERBB3	-0.66	16.12
ERBB4	-1.97	1.79
ERC1	-0.88	10.54
ERC2	-0.33	30.86
ERCC1	-0.36	29.16
ERCC2	-1.95	1.89
ERCC3	-1.28	5.11
ERCC4	-0.37	28.29
ERCC5	0.55	81.13
ERCC6	1.49	95.32
ERCC6L	-0.18	40.56
ERCC6L2	NA	NA
ERCC6-PGBD3	NA	NA
ERCC8	-0.53	20.7
EREG	0.1	61.49
ERF	-0.42	25.56
ERG	-0.6	17.91
ERGIC1	-0.36	28.93
ERGIC2	-0.34	30.07
ERGIC3	-0.4	26.53
ERH	0.1	60.96
ERI1	-0.16	41.91
ERI2	1.6	95.87
ERI3	-0.34	30.07
ERICH1	0.07	59.16
ERLEC1	-0.69	15.12
ERLIN1	-0.14	43.29
ERLIN2	-0.49	22.09
ERMAP	0.67	84.64
ERMN	0.64	83.78
ERMP1	-1.04	7.8
ERN1	-0.44	24.63
ERN2	-1.7	2.58
ERO1L	-0.4	26.53
ERO1LB	0.75	86.65
ERP27	-0.05	50.01
ERP29	-0.14	43.57
ERP44	-0.07	48.12
ERRFI1	0.35	74.49
ERV3-1	1.94	97.52
ERVFRD-1	-0.2	38.82
ERVV-1	NA	NA
ERVV-2	NA	NA
ERVW-1	0.97	90.34
ESAM	0.2	67.19
ESCO1	-0.24	36.23
ESCO2	0.73	86.27
ESD	0.1	61.49
ESF1	-0.69	15.27
ESM1	0.04	56.64
ESPL1	1.8	96.89
ESPN	NA	NA
ESPNL	NA	NA
ESR1	0.24	69.46
ESR2	-0.95	9.27
ESRP1	-0.53	20.7
ESRP2	-0.73	14.14
ESRRA	-0.36	28.93
ESRRB	0.18	66.07
ESRRG	-0.56	19.31
ESX1	0.04	57.15
ESYT1	-1.86	2.02
ESYT2	-0.11	45.61
ESYT3	1.9	97.34
ETAA1	1.49	95.36
ETF1	-0.32	31.46
ETFA	0.08	60.09
ETFB	0.64	83.98
ETFDH	-0.56	19.54
ETHE1	-0.32	31.46
ETNK1	0.04	56.92
ETNK2	0.02	55.22
ETS1	-0.2	38.82
ETS2	-0.05	50.22
ETV1	-0.43	25.37
ETV2	0.53	80.73
ETV3	-0.34	30.07
ETV3L	1.44	95.08
ETV4	0.29	71.5
ETV5	-0.36	29.16
ETV6	-0.62	17.16
ETV7	1.24	93.42
EVC	3.73	99.58
EVC2	-0.06	48.79
EVI2A	0.28	71.27
EVI2B	0.42	77.06
EVI5	0.18	66.13
EVI5L	-0.82	11.68
EVL	-0.36	28.93
EVPL	0.77	86.9
EVPLL	0.86	88.56
EVX1	NA	NA
EVX2	NA	NA
EWSR1	-0.78	12.88
EXD1	-0.47	23.43
EXD2	0.02	55.61
EXD3	2.95	99.17
EXO1	3.14	99.3
EXOC1	-0.64	16.53
EXOC2	-0.97	8.9
EXOC3	-1.6	3.04
EXOC3L1	1.07	91.68
EXOC3L2	-0.16	42.06
EXOC3L4	NA	NA
EXOC4	-1.28	5.17
EXOC5	0.22	68.13
EXOC6	0.16	64.85
EXOC6B	-0.87	10.8
EXOC7	-0.93	9.61
EXOC8	-0.49	22.65
EXOG	-0.45	24.33
EXOSC1	-0.36	28.63
EXOSC10	-1.24	5.49
EXOSC2	-0.23	37.32
EXOSC3	0.62	83.25
EXOSC4	-0.32	31.69
EXOSC5	-0.29	33.2
EXOSC6	NA	NA
EXOSC7	-0.03	51.92
EXOSC8	0.1	61.49
EXOSC9	-0.25	35.99
EXPH5	4.12	99.69
EXT1	-1.13	6.43
EXT2	-0.48	22.75
EXTL1	0.71	85.82
EXTL2	-0.32	31.69
EXTL3	-1.79	2.24
EYA1	-0.84	11.18
EYA2	0.09	60.65
EYA3	-0.65	16.36
EYA4	-0.42	25.56
EYS	7.74	99.93
EZH1	-0.45	24.19
EZH2	-0.54	20.54
EZR	-1.2	5.79
F10	-0.55	19.86
F11	-0.93	9.68
F11R	-0.14	43.57
F12	0.53	80.96
F13A1	0.25	69.66
F13B	0.73	86.21
F2	-0.71	14.57
F2R	-0.65	16.36
F2RL1	-0.38	27.69
F2RL2	0.77	87.06
F2RL3	NA	NA
F3	0.88	89.02
F5	3.23	99.38
F7	-0.02	52.25
F8	-0.75	13.77
F8A1	NA	NA
F8A2	NA	NA
F8A3	NA	NA
F9	-0.03	51.66
FA2H	-0.25	35.99
FAAH	-0.47	23.43
FAAH2	-0.29	33.42
FABP1	0.13	62.74
FABP12	0.28	71.08
FABP2	0.04	56.64
FABP3	0.19	66.57
FABP4	0.17	65.33
FABP5	0.24	68.72
FABP6	0.04	56.92
FABP7	-0.1	46.2
FABP9	NA	NA
FADD	0.06	58.26
FADS1	-0.12	44.54
FADS2	-0.38	27.42
FADS3	-0.6	17.75
FADS6	-0.13	43.91
FAF1	-0.42	25.56
FAF2	-0.43	25.15
FAH	-0.91	10.03
FAHD1	-0.29	33.2
FAHD2A	-0.67	15.62
FAHD2B	0.28	71.27
FAIM	0.17	65.56
FAIM2	-0.29	32.94
FAIM3	0.02	55.22
FAM100A	0.26	70.06
FAM100B	NA	NA
FAM101A	0.68	84.93
FAM102A	-0.58	18.59
FAM102B	-0.07	48.12
FAM103A1	0.26	70.06
FAM104A	0.06	58.53
FAM104B	0.41	76.67
FAM105A	0.11	61.73
FAM105B	0.46	78.28
FAM107A	0.48	79.04
FAM107B	-0.03	51.92
FAM108A1	NA	NA
FAM108B1	-0.34	30.07
FAM108C1	NA	NA
FAM109A	NA	NA
FAM109B	0.19	67.03
FAM110A	NA	NA
FAM110B	-0.27	34.32
FAM110C	NA	NA
FAM110D	NA	NA
FAM111A	-0.26	34.88
FAM111B	-0.73	14.14
FAM114A1	0.36	74.66
FAM114A2	-0.18	40.45
FAM115A	NA	NA
FAM115C	NA	NA
FAM116A	-0.03	51.66
FAM116B	-0.95	9.27
FAM117A	-0.18	40.16
FAM117B	NA	NA
FAM118A	0	53.85
FAM118B	-0.45	24.19
FAM120A	-2.04	1.66
FAM120AOS	0.97	90.23
FAM120B	1.18	92.8
FAM120C	-0.14	43.57
FAM122A	-0.14	43.29
FAM122B	0.35	73.97
FAM122C	0.35	73.97
FAM123A	0.13	63.36
FAM123B	-0.39	27.03
FAM123C	-1.08	7.24
FAM124A	0.15	64.74
FAM124B	0.04	57.15
FAM125A	0.35	74.37
FAM125B	-0.47	23.04
FAM126A	0.26	70.52
FAM126B	-0.43	25.37
FAM127A	0.1	60.96
FAM127B	0.48	78.95
FAM127C	-0.08	47.79
FAM129A	1.21	93.05
FAM129B	-1.35	4.63
FAM129C	1.58	95.79
FAM131A	-0.21	38.58
FAM131B	-0.43	25.37
FAM131C	0.84	88.3
FAM132A	NA	NA
FAM133A	0.55	81.12
FAM133B	0.06	58
FAM134A	0.51	80.2
FAM134B	0.4	76.15
FAM134C	-0.8	12.33
FAM135A	-0.5	21.84
FAM135B	-1.43	4.05
FAM136A	-0.01	53.19
FAM13A	-0.37	28.26
FAM13B	-1	8.54
FAM13C	0.76	86.75
FAM149A	3.12	99.27
FAM149B1	0.73	85.98
FAM150A	NA	NA
FAM150B	NA	NA
FAM151A	1.63	96.05
FAM151B	0.04	56.92
FAM153A	NA	NA
FAM153B	NA	NA
FAM153C	NA	NA
FAM154A	2.36	98.43
FAM154B	0.89	89.19
FAM155A	-0.01	53.51
FAM155B	0.46	78.46
FAM156A	NA	NA
FAM156B	NA	NA
FAM159A	-0.01	53.19
FAM159B	0.5	79.79
FAM160A1	1.98	97.61
FAM160A2	-0.94	9.39
FAM160B1	-0.75	13.58
FAM160B2	-0.59	18.25
FAM161A	1.02	91.05
FAM161B	0.54	81.07
FAM162A	0.7	85.42
FAM162B	NA	NA
FAM163A	0.19	66.82
FAM163B	NA	NA
FAM165B	0.37	74.95
FAM166A	-0.33	30.86
FAM166B	0.4	76.15
FAM167A	0.58	82.17
FAM167B	NA	NA
FAM168A	-0.3	32.62
FAM168B	-0.19	39.68
FAM169A	-0.2	38.98
FAM169B	0.75	86.57
FAM170A	0.35	74.37
FAM170B	1.44	95.05
FAM171A1	-1.32	4.73
FAM171A2	NA	NA
FAM171B	-1.09	7.15
FAM172A	-0.07	48.35
FAM173A	NA	NA
FAM173B	0.42	77.06
FAM174A	0.53	80.58
FAM174B	NA	NA
FAM175A	0.95	90.01
FAM175B	-0.67	15.62
FAM176A	0.26	70.06
FAM176B	NA	NA
FAM176C	0.17	65.96
FAM177A1	0.13	63
FAM177B	0.24	68.98
FAM178A	0.36	74.66
FAM178B	0.84	88.3
FAM179A	3.2	99.33
FAM179B	-1.1	6.97
FAM180A	-0.01	53.51
FAM180B	NA	NA
FAM181A	0.29	71.5
FAM181B	NA	NA
FAM183A	0.26	70.06
FAM183B	NA	NA
FAM184A	-0.22	37.66
FAM184B	1.77	96.82
FAM185A	NA	NA
FAM186A	4.33	99.73
FAM186B	1.41	94.8
FAM187B	1.46	95.23
FAM188A	-0.91	9.9
FAM188B	2.25	98.21
FAM189A1	1.46	95.18
FAM189A2	-0.29	33.34
FAM189B	0.13	63.49
FAM18A	-0.38	27.42
FAM18B1	0.08	59.76
FAM18B2	0.66	84.44
FAM18B2-CDRT4	0.1	61.28
FAM190A	0.82	88.07
FAM190B	0.45	77.98
FAM192A	0.04	56.64
FAM193A	0.19	66.32
FAM193B	0.16	64.82
FAM194A	1.82	97.02
FAM194B	2.71	98.94
FAM195A	NA	NA
FAM195B	0.12	62.38
FAM196A	-0.22	37.6
FAM196B	0.48	79.04
FAM198A	1.64	96.11
FAM198B	-0.13	43.98
FAM199X	0.01	54.63
FAM19A1	-0.08	47.79
FAM19A2	0.21	67.72
FAM19A3	0.9	89.39
FAM19A4	0.06	58.26
FAM19A5	0.35	73.97
FAM200A	0.28	71.27
FAM200B	0.7	85.34
FAM203A	NA	NA
FAM204A	-0.3	32.62
FAM205A	2.68	98.87
FAM206A	0.35	74.18
FAM207A	0.13	63.2
FAM208A	-0.24	36.33
FAM208B	2.83	99.09
FAM209A	0.42	76.81
FAM209B	0.9	89.39
FAM20A	-0.36	29.31
FAM20B	-0.12	45.13
FAM20C	1.57	95.71
FAM210A	-0.23	37.11
FAM210B	NA	NA
FAM211A	0.93	89.66
FAM211B	1.58	95.75
FAM212A	0.13	63.2
FAM212B	-0.6	17.75
FAM213A	-0.01	53.51
FAM213B	-0.01	53.19
FAM214A	0.6	82.9
FAM214B	-0.14	43.77
FAM216A	0.17	65.56
FAM216B	0.1	61.28
FAM217A	2.4	98.51
FAM217B	-0.58	18.59
FAM218A	0.55	81.22
FAM219A	-0.01	52.85
FAM219B	0.15	64.32
FAM21A	NA	NA
FAM21B	NA	NA
FAM21C	NA	NA
FAM220A	0.89	89.14
FAM221A	0.97	90.34
FAM221B	1.31	94
FAM222A	NA	NA
FAM222B	-0.53	20.7
FAM227B	-0.33	30.7
FAM228A	0.19	66.82
FAM229A	NA	NA
FAM22A	NA	NA
FAM22D	NA	NA
FAM22F	NA	NA
FAM22G	1	90.69
FAM24A	-0.08	47.79
FAM24B	0.17	65.33
FAM25A	NA	NA
FAM25B	NA	NA
FAM25C	NA	NA
FAM25G	NA	NA
FAM26D	-0.14	42.88
FAM26E	0.33	73.41
FAM26F	NA	NA
FAM32A	0.08	59.43
FAM35A	-0.07	48.69
FAM3A	-0.43	25.15
FAM3B	0.24	69.21
FAM3C	-0.21	38.28
FAM3D	0.26	70.44
FAM40A	-1.31	4.85
FAM40B	-0.64	16.68
FAM43A	NA	NA
FAM43B	NA	NA
FAM45A	0.13	63.2
FAM46A	0.24	69.21
FAM46B	-0.47	23.43
FAM46C	-0.11	45.26
FAM46D	-0.03	51.66
FAM47A	1.22	93.24
FAM47B	1.87	97.2
FAM47C	1.76	96.75
FAM47E	1.48	95.3
FAM47E-STBD1	NA	NA
FAM48A	-0.44	24.46
FAM49A	-0.14	42.88
FAM49B	-0.08	47.79
FAM50A	-0.01	53.19
FAM50B	0.02	55.22
FAM53A	NA	NA
FAM53B	-0.35	29.43
FAM53C	-0.38	27.69
FAM54A	0.44	77.85
FAM54B	-0.18	40.16
FAM57A	-0.52	21.2
FAM57B	-0.41	26.23
FAM58A	NA	NA
FAM59A	-0.73	14.2
FAM59B	NA	NA
FAM5B	-1.15	6.27
FAM5C	-1.16	6.17
FAM60A	0.21	67.72
FAM63A	0.46	78.69
FAM63B	-0.13	43.91
FAM64A	-0.32	31.69
FAM65A	-0.68	15.38
FAM65B	2.4	98.52
FAM65C	-0.72	14.3
FAM69A	0.39	75.87
FAM69B	-0.66	16.02
FAM69C	NA	NA
FAM70A	-0.21	38.58
FAM70B	0.65	84.12
FAM71A	1.89	97.33
FAM71B	0.49	79.55
FAM71C	1.19	92.89
FAM71D	-0.16	42.06
FAM71E1	0.19	67.03
FAM71F1	0.35	74.37
FAM71F2	1.28	93.77
FAM72A	NA	NA
FAM72B	NA	NA
FAM72D	NA	NA
FAM73A	-0.73	14.08
FAM73B	-0.04	50.45
FAM75A1	NA	NA
